name,o,c,e,a,n
product0,"[5, 3]","[10, 5]","[4, 5]","[8, 2]","[10, 7]"
product1,"[3, 5]","[10, 7]","[8, 10]","[9, 6]","[3, 3]"
product2,"[3, 7]","[9, 8]","[10, 4]","[4, 9]","[6, 2]"
product3,"[3, 7]","[2, 5]","[2, 1]","[8, 4]","[7, 7]"
product4,"[3, 7]","[3, 5]","[7, 9]","[10, 2]","[5, 2]"
product5,"[2, 10]","[5, 7]","[3, 4]","[1, 5]","[6, 1]"
product6,"[3, 7]","[5, 3]","[6, 7]","[7, 2]","[9, 10]"
product7,"[10, 6]","[2, 9]","[7, 3]","[3, 10]","[1, 3]"
product8,"[5, 4]","[2, 2]","[5, 2]","[1, 9]","[2, 7]"
product9,"[3, 10]","[2, 1]","[1, 7]","[9, 2]","[5, 4]"
product10,"[9, 6]","[4, 2]","[6, 10]","[8, 10]","[8, 5]"
product11,"[9, 9]","[9, 6]","[4, 2]","[4, 5]","[4, 1]"
product12,"[9, 3]","[10, 3]","[5, 9]","[5, 2]","[7, 6]"
product13,"[7, 1]","[6, 4]","[2, 9]","[5, 3]","[2, 5]"
product14,"[9, 3]","[2, 10]","[8, 10]","[7, 4]","[4, 2]"
product15,"[5, 5]","[9, 6]","[10, 2]","[7, 6]","[2, 10]"
product16,"[7, 7]","[8, 1]","[2, 5]","[6, 3]","[10, 7]"
product17,"[6, 10]","[9, 9]","[5, 10]","[2, 8]","[2, 2]"
product18,"[10, 1]","[8, 7]","[4, 4]","[2, 4]","[8, 1]"
product19,"[9, 5]","[7, 8]","[9, 6]","[7, 4]","[2, 9]"
product20,"[4, 8]","[8, 5]","[8, 1]","[4, 7]","[4, 10]"
product21,"[9, 5]","[3, 2]","[4, 6]","[4, 6]","[4, 6]"
product22,"[2, 4]","[4, 8]","[5, 5]","[3, 3]","[10, 2]"
product23,"[3, 6]","[3, 4]","[1, 3]","[9, 6]","[4, 3]"
product24,"[6, 10]","[3, 5]","[1, 1]","[3, 9]","[4, 9]"
